Peer group,Province/territory,Region code,Region name,2013,2014,2015,2016,2017,2018,2019,2020,2021
D,Manitoba,4602,Prairie Mountain Health,"165,813","166,666","167,403","169,180","170,154","171,019","172,092","172,939","172,526"
D,Manitoba,4603,Interlake–Eastern Regional Health Authority,"128,495","129,264","129,699","130,459","131,335","132,704","134,350","135,564","136,029"
F,Manitoba,4604,Northern Health Region,"73,818","74,400","74,686","75,134","75,649","75,590","75,801","75,784","75,585"
D,Manitoba,4605,Southern Health — Santé Sud,"186,144","189,321","193,092","197,319","200,697","204,054","208,085","211,329","214,425"
D,Saskatchewan,4701,Sun Country Health Region,"58,148","58,533","58,191","57,878","57,599","57,412","57,143","56,539","56,052"
D,Saskatchewan,4702,Five Hills Health Region,"54,335","54,576","54,583","55,157","55,430","55,486","54,946","54,720","54,219"
D,Saskatchewan,4703,Cypress Health Region,"43,600","43,693","43,740","44,174","44,373","44,326","44,264","43,985","43,765"
B,Saskatchewan,4704,Regina Qu'Appelle Health Region,"274,713","279,139","282,179","288,188","293,945","299,061","303,681","306,053","306,025"
D,Saskatchewan,4705,Sunrise Health Region,"56,717","56,859","56,462","56,425","56,393","56,149","55,994","55,641","55,311"
B,Saskatchewan,4706,Saskatoon Health Region,"337,483","344,155","349,641","358,232","366,148","373,002","380,400","386,775","389,541"
D,Saskatchewan,4707,Heartland Health Region,"42,673","42,848","42,940","42,926","42,979","42,891","42,550","42,332","42,092"
D,Saskatchewan,4708,Kelsey Trail Health Region,"41,312","41,258","40,922","40,687","40,656","40,438","39,981","39,710","39,531"
C,Saskatchewan,4709,Prince Albert Parkland Health Region,"77,945","77,866","77,754","77,898","78,260","78,300","78,477","78,443","78,069"
A,Saskatchewan,4710,Prairie North Health Region,"76,117","77,160","77,603","77,488","77,511","77,421","77,526","77,459","77,362"
F,Saskatchewan,4711,Mamawetan Churchill River Health Region,"23,188","23,231","23,227","23,216","23,279","23,436","23,446","23,509","23,866"
